지점,지점명,일시,평균기온(°C)
108,서울,1946-02,-.7
108,서울,1946-03,2.5
108,서울,1946-04,10.9
108,서울,1946-05,16
108,서울,1946-06,20.9
108,서울,1946-07,25.6
108,서울,1946-08,25.7
108,서울,1946-09,19.9
108,서울,1946-10,13.8
108,서울,1946-11,8.8
108,서울,1946-12,-4.3
108,서울,1947-01,-3.9
108,서울,1947-02,-5.3
108,서울,1947-03,1.5
108,서울,1947-04,10.5
108,서울,1947-05,15.9
108,서울,1947-06,18.7
108,서울,1947-07,22.9
108,서울,1947-08,25.1
108,서울,1947-09,19.6
108,서울,1947-10,11.8
108,서울,1947-11,3.5
108,서울,1947-12,-5.4
108,서울,1948-01,-4.5
108,서울,1948-02,-1.4
108,서울,1948-03,4.7
108,서울,1948-04,12.5
108,서울,1948-05,16
108,서울,1948-06,20.9
108,서울,1948-07,24.3
108,서울,1948-08,25.8
108,서울,1948-09,20.2
108,서울,1948-10,13.3
108,서울,1948-11,5.1
108,서울,1948-12,3.8
108,서울,1949-01,-3
108,서울,1949-02,1.3
108,서울,1949-03,3.4
108,서울,1949-04,9.9
108,서울,1949-05,16.4
108,서울,1949-06,20.5
108,서울,1949-07,24.8
108,서울,1949-08,26.1
108,서울,1949-09,20.8
108,서울,1949-10,13.9
108,서울,1949-11,7
108,서울,1949-12,-1.3
108,서울,1950-01,-1.3
108,서울,1950-02,-.4
108,서울,1950-03,4.6
108,서울,1950-04,13.1
108,서울,1950-05,17.5
108,서울,1950-06,20.8
108,서울,1950-07,26
108,서울,1950-08,26.5
108,서울,1953-12,.6
108,서울,1954-01,-1.5
108,서울,1954-02,.4
108,서울,1954-03,3.1
108,서울,1954-04,11.8
108,서울,1954-05,16.6
108,서울,1954-06,19.6
108,서울,1954-07,21.9
108,서울,1954-08,25.7
108,서울,1954-09,20.3
108,서울,1954-10,12.5
108,서울,1954-11,9.5
108,서울,1954-12,-2.7
108,서울,1955-01,-5.6
108,서울,1955-02,-.1
108,서울,1955-03,4.4
108,서울,1955-04,11.1
108,서울,1955-05,15.9
108,서울,1955-06,21.4
108,서울,1955-07,24.5
108,서울,1955-08,26.2
108,서울,1955-09,20.7
108,서울,1955-10,12.6
108,서울,1955-11,5.9
108,서울,1955-12,.6
108,서울,1956-01,-3.9
108,서울,1956-02,-3.4
108,서울,1956-03,3.7
108,서울,1956-04,9.5
108,서울,1956-05,15.1
108,서울,1956-06,19.7
108,서울,1956-07,24.3
108,서울,1956-08,24.8
108,서울,1956-09,20.4
108,서울,1956-10,12.8
108,서울,1956-11,3.2
108,서울,1956-12,-5.2
108,서울,1957-01,-3.5
108,서울,1957-02,-4.3
108,서울,1957-03,0
108,서울,1957-04,10.4
108,서울,1957-05,16.9
108,서울,1957-06,20.1
108,서울,1957-07,22.4
108,서울,1957-08,24.1
108,서울,1957-09,18.9
108,서울,1957-10,12.5
108,서울,1957-11,8.3
108,서울,1957-12,-.5
108,서울,1958-01,-6
108,서울,1958-02,-.8
108,서울,1958-03,3.7
108,서울,1958-04,10.8
108,서울,1958-05,16.3
108,서울,1958-06,22.2
108,서울,1958-07,25.6
108,서울,1958-08,23.8
108,서울,1958-09,19.8
108,서울,1958-10,12.7
108,서울,1958-11,6.7
108,서울,1958-12,4
108,서울,1959-01,-5.1
108,서울,1959-02,2.4
108,서울,1959-03,6
108,서울,1959-04,10.2
108,서울,1959-05,17.9
108,서울,1959-06,20.4
108,서울,1959-07,24.4
108,서울,1959-08,25.8
108,서울,1959-09,20.8
108,서울,1959-10,14.8
108,서울,1959-11,5.8
108,서울,1959-12,1.1
108,서울,1960-01,-3.3
108,서울,1960-02,1.7
108,서울,1960-03,6.7
108,서울,1960-04,10.6
108,서울,1960-05,16.5
108,서울,1960-06,20.6
108,서울,1960-07,24.8
108,서울,1960-08,26.2
108,서울,1960-09,20.8
108,서울,1960-10,15.1
108,서울,1960-11,7.1
108,서울,1960-12,-1.8
108,서울,1961-01,-5.2
108,서울,1961-02,-.9
108,서울,1961-03,5.4
108,서울,1961-04,11.7
108,서울,1961-05,17.3
108,서울,1961-06,21.9
108,서울,1961-07,26.2
108,서울,1961-08,26.8
108,서울,1961-09,21.5
108,서울,1961-10,15.6
108,서울,1961-11,8.9
108,서울,1961-12,-.6
108,서울,1962-01,-3.4
108,서울,1962-02,-.7
108,서울,1962-03,3.2
108,서울,1962-04,10
108,서울,1962-05,17.6
108,서울,1962-06,21.1
108,서울,1962-07,26.1
108,서울,1962-08,25.1
108,서울,1962-09,20.3
108,서울,1962-10,13.6
108,서울,1962-11,6.4
108,서울,1962-12,1.1
108,서울,1963-01,-9.1
108,서울,1963-02,-2.4
108,서울,1963-03,5.5
108,서울,1963-04,11.4
108,서울,1963-05,16.9
108,서울,1963-06,21.2
108,서울,1963-07,24.5
108,서울,1963-08,25.7
108,서울,1963-09,20.5
108,서울,1963-10,13.5
108,서울,1963-11,6.5
108,서울,1963-12,.8
108,서울,1964-01,-.1
108,서울,1964-02,-3.5
108,서울,1964-03,3.8
108,서울,1964-04,14.1
108,서울,1964-05,18.6
108,서울,1964-06,21.6
108,서울,1964-07,24.7
108,서울,1964-08,26.3
108,서울,1964-09,20.3
108,서울,1964-10,13.8
108,서울,1964-11,6.3
108,서울,1964-12,.2
108,서울,1965-01,-4.2
108,서울,1965-02,-1.2
108,서울,1965-03,2.7
108,서울,1965-04,10.3
108,서울,1965-05,17.3
108,서울,1965-06,22.1
108,서울,1965-07,24.1
108,서울,1965-08,24.4
108,서울,1965-09,20.9
108,서울,1965-10,14.8
108,서울,1965-11,7
108,서울,1965-12,-2
108,서울,1966-01,-4.6
108,서울,1966-02,.1
108,서울,1966-03,4.8
108,서울,1966-04,11.8
108,서울,1966-05,18.3
108,서울,1966-06,20.5
108,서울,1966-07,23.6
108,서울,1966-08,26.7
108,서울,1966-09,19.7
108,서울,1966-10,14.4
108,서울,1966-11,5.9
108,서울,1966-12,-3
108,서울,1967-01,-4.4
108,서울,1967-02,-2.4
108,서울,1967-03,4.8
108,서울,1967-04,11.8
108,서울,1967-05,19.3
108,서울,1967-06,21.3
108,서울,1967-07,25.5
108,서울,1967-08,26.7
108,서울,1967-09,20.7
108,서울,1967-10,14.5
108,서울,1967-11,6.5
108,서울,1967-12,-4.9
108,서울,1968-01,-4
108,서울,1968-02,-4.4
108,서울,1968-03,4.4
108,서울,1968-04,12.6
108,서울,1968-05,17.2
108,서울,1968-06,21
108,서울,1968-07,24.7
108,서울,1968-08,24.9
108,서울,1968-09,20.9
108,서울,1968-10,13
108,서울,1968-11,7.6
108,서울,1968-12,3.1
108,서울,1969-01,-3.5
108,서울,1969-02,-2.7
108,서울,1969-03,2.9
108,서울,1969-04,10.6
108,서울,1969-05,16.4
108,서울,1969-06,20
108,서울,1969-07,24
108,서울,1969-08,24.8
108,서울,1969-09,20.8
108,서울,1969-10,13.9
108,서울,1969-11,5
108,서울,1969-12,-2
108,서울,1970-01,-4.8
108,서울,1970-02,-.2
108,서울,1970-03,.4
108,서울,1970-04,12.2
108,서울,1970-05,18.7
108,서울,1970-06,20.5
108,서울,1970-07,23
108,서울,1970-08,25.9
108,서울,1970-09,21.2
108,서울,1970-10,14.9
108,서울,1970-11,5.7
108,서울,1970-12,-1
108,서울,1971-01,-2.4
108,서울,1971-02,-.7
108,서울,1971-03,2
108,서울,1971-04,11.2
108,서울,1971-05,16.6
108,서울,1971-06,21.6
108,서울,1971-07,23.9
108,서울,1971-08,24.6
108,서울,1971-09,20.6
108,서울,1971-10,13
108,서울,1971-11,8.7
108,서울,1971-12,-1.2
108,서울,1972-01,.8
108,서울,1972-02,-.6
108,서울,1972-03,5.3
108,서울,1972-04,11.5
108,서울,1972-05,16.4
108,서울,1972-06,21.7
108,서울,1972-07,25.7
108,서울,1972-08,23.1
108,서울,1972-09,19
108,서울,1972-10,13.8
108,서울,1972-11,5.2
108,서울,1972-12,.6
108,서울,1973-01,.4
108,서울,1973-02,.6
108,서울,1973-03,4.5
108,서울,1973-04,12.4
108,서울,1973-05,17.4
108,서울,1973-06,21.4
108,서울,1973-07,26.8
108,서울,1973-08,25.9
108,서울,1973-09,20.3
108,서울,1973-10,13
108,서울,1973-11,4.7
108,서울,1973-12,-3
108,서울,1974-01,-2.4
108,서울,1974-02,-2.1
108,서울,1974-03,3.7
108,서울,1974-04,10.7
108,서울,1974-05,16.7
108,서울,1974-06,19.7
108,서울,1974-07,23.5
108,서울,1974-08,25.1
108,서울,1974-09,20.6
108,서울,1974-10,12.6
108,서울,1974-11,5.4
108,서울,1974-12,-.5
108,서울,1975-01,-2.7
108,서울,1975-02,-.8
108,서울,1975-03,4.4
108,서울,1975-04,13.3
108,서울,1975-05,16.7
108,서울,1975-06,21.4
